Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,20000,-1,508,2348
DoubleCanon_Tower(Clone)_Create_Lvl0,80,19920,0,521,6627
Mortar_Tower(Clone)_Create_Lvl0,80,19849,0,527,9443
Sniper_Tower(Clone)_Upgrade_S_01_up,120,19805,1,565,7204
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,19685,1,566,4292
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,19505,1,567,1378
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,19379,1,574,6363
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,19259,1,575,2672
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,19079,1,575,9167
Mortar_Tower(Clone)_Upgrade_M_01_up,120,18881,1,583,0935
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,18761,1,583,764
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,18599,1,584,4624
Food_Factory(Clone)_Create_Lvl0,50,18338,1,594,7596
Food_Factory(Clone)_Upgrade_F_01_up,75,18288,1,597,2104
Food_Factory(Clone)_Upgrade_F_02_up,115,18213,1,597,8906
Food_Factory(Clone)_Upgrade_F_03_up,175,18098,1,598,5049
ChewingGum_Factory(Clone)_Create_Lvl0,50,17923,2,606,3162
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,17900,2,610,9385
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,17825,2,611,7241
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,17710,2,612,349
