Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,33,10931
Food_Factory(Clone)_Create_Lvl0,50,100,-1,35,84338
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,75,99335
Sniper_Tower(Clone)_Create_Lvl0,80,96,1,134,1773
Food_Factory(Clone)_Create_Lvl0,50,52,2,154,1248
DoubleCanon_Tower(Clone)_Create_Lvl0,100,139,3,214,1587
ChewingGum_Factory(Clone)_Create_Lvl0,50,138,3,240,4943
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,124,4,261,8745
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,244,4,291,6867
Sniper_Tower(Clone)_Upgrade_S_01_up,120,124,4,297,1888
Mortar_Tower(Clone)_Upgrade_M_01_up,120,161,5,348,8399
Mortar_Tower(Clone)_Create_Lvl0,100,140,6,381,3515
Mortar_Tower(Clone)_Upgrade_M_01_up,120,240,6,400,4803
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,214,6,410,597
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,202,7,454,778
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,471,7,499,2019
