Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,49,00723
Food_Factory(Clone)_Create_Lvl0,50,100,-1,56,42335
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,111,435
Sniper_Tower(Clone)_Create_Lvl0,80,96,1,162,5802
Food_Factory(Clone)_Create_Lvl0,50,61,2,197,673
DoubleCanon_Tower(Clone)_Create_Lvl0,100,103,3,248,5074
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,120,3,271,6585
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,126,4,307,9384
DoubleCanon_Tower(Clone)_Create_Lvl0,120,125,5,340,5913
Food_Factory(Clone)_Upgrade_F_01_up,75,97,5,355,0015
Sniper_Tower(Clone)_Upgrade_S_01_up,120,134,5,377,6287
Mortar_Tower(Clone)_Upgrade_M_01_up,120,122,6,400,5143
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,130,6,412,6606
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,203,6,438,115
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,205,7,478,1852
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,283,7,508,3025
