Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,5,046446
Food_Factory(Clone)_Create_Lvl0,50,100,-1,9,232049
DoubleCanon_Tower(Clone)_Create_Lvl0,100,113,1,91,89365
Sniper_Tower(Clone)_Create_Lvl0,80,112,2,158,3073
Mortar_Tower(Clone)_Create_Lvl0,80,97,3,193,831
Food_Factory(Clone)_Upgrade_F_01_up,75,107,3,219,2088
Food_Factory(Clone)_Create_Lvl0,50,149,4,261,6111
Mortar_Tower(Clone)_Upgrade_M_01_up,120,137,4,271,6361
ChewingGum_Factory(Clone)_Create_Lvl0,50,55,5,296,5583
Food_Factory(Clone)_Upgrade_F_01_up,75,162,5,330,8406
Food_Factory(Clone)_Upgrade_F_01_up,75,96,5,333,1542
Mortar_Tower(Clone)_Create_Lvl0,100,167,6,379,1766
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,240,6,394,7625
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,183,7,419,0009
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,140,7,437,7943
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,323,7,467,4755
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,165,7,475,7589
