Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,20000,0,14,04284
Sniper_Tower(Clone)_Upgrade_S_01_up,120,19920,0,15,15686
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,19800,0,15,31266
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,19620,0,15,46403
Mortar_Tower(Clone)_Create_Lvl0,80,19440,0,17,65318
Mortar_Tower(Clone)_Upgrade_M_01_up,120,19360,0,18,60634
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,19240,0,18,76991
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,19060,0,18,94924
DoubleCanon_Tower(Clone)_Create_Lvl0,80,18799,0,21,98413
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,18719,0,22,99925
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,18599,0,23,15368
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,18419,0,23,30381
Food_Factory(Clone)_Create_Lvl0,50,18158,0,26,30137
Food_Factory(Clone)_Create_Lvl0,50,18151,0,46,69777
Food_Factory(Clone)_Upgrade_F_01_up,75,18101,0,47,72137
Food_Factory(Clone)_Upgrade_F_02_up,115,18026,0,47,87043
Food_Factory(Clone)_Upgrade_F_03_up,175,17911,0,48,02337
Stars_Factory(Clone)_Create_Lvl0,50,17736,0,51,07821
Stars_Factory(Clone)_Upgrade_E_01_up,75,17686,0,52,2389
Stars_Factory(Clone)_Upgrade_E_02_up,115,17611,0,52,40022
Stars_Factory(Clone)_Upgrade_E_03_up,175,17496,0,52,55219
ChewingGum_Factory(Clone)_Create_Lvl0,50,17409,1,62,60746
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,17359,1,63,85364
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,17284,1,64,01699
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,17169,1,64,17525
