Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,400,-1,16,3388
Sniper_Tower(Clone)_Create_Lvl0,80,320,-1,28,93569
Food_Factory(Clone)_Create_Lvl0,50,240,-1,38,02318
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,190,-1,45,03242
DoubleCanon_Tower(Clone)_Create_Lvl0,100,154,1,123,6672
Food_Factory(Clone)_Create_Lvl0,50,81,1,130,5676
Sniper_Tower(Clone)_Upgrade_S_01_up,120,159,3,203,578
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,123,3,222,1414
Mortar_Tower(Clone)_Create_Lvl0,80,107,4,279,1919
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,211,5,302,4505
Sniper_Tower(Clone)_Create_Lvl0,100,152,5,336,9734
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,228,6,358,9565
Sniper_Tower(Clone)_Upgrade_S_01_up,120,132,6,385,024
Mortar_Tower(Clone)_Upgrade_M_01_up,120,128,8,462,1339
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,180,8,505,9299
ChewingGum_Factory(Clone)_Create_Lvl0,50,56,9,520,2521
Sniper_Tower(Clone)_Create_Lvl0,120,198,9,559,3035
Sniper_Tower(Clone)_Upgrade_S_01_up,120,150,10,589,5525
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,196,10,610,5524
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,304,11,691,9516
