Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,5426,618
Food_Factory(Clone)_Create_Lvl0,50,100,-1,5428,512
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,5459,297
DoubleCanon_Tower(Clone)_Create_Lvl0,100,105,2,5521,75
Food_Factory(Clone)_Create_Lvl0,50,52,2,5538,881
ChewingGum_Factory(Clone)_Create_Lvl0,50,56,2,5550,595
Mortar_Tower(Clone)_Create_Lvl0,80,87,3,5594,68
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,124,4,5624,363
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,121,4,5637,697
Sniper_Tower(Clone)_Upgrade_S_01_up,120,131,4,5656,06
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,139,5,5686,771
Mortar_Tower(Clone)_Upgrade_M_01_up,120,165,5,5705,886
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,236,6,5750,082
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,186,6,5761,89
Food_Factory(Clone)_Upgrade_F_01_up,75,141,6,5778,854
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,187,7,5805,52
Food_Factory(Clone)_Upgrade_F_02_up,115,133,7,5820,488
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,141,7,5838,58
