Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,10,43758
Food_Factory(Clone)_Create_Lvl0,50,100,-1,21,82813
Sniper_Tower(Clone)_Create_Lvl0,80,86,1,139,0251
Food_Factory(Clone)_Create_Lvl0,50,87,2,188,5285
DoubleCanon_Tower(Clone)_Create_Lvl0,100,100,2,237,1227
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,137,4,306,0706
Mortar_Tower(Clone)_Create_Lvl0,80,89,4,318,0259
ChewingGum_Factory(Clone)_Create_Lvl0,50,101,4,341,0969
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,134,5,368,1453
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,214,6,425,4069
Sniper_Tower(Clone)_Create_Lvl0,100,135,6,441,2959
Stars_Factory(Clone)_Create_Lvl0,50,372,7,491,2674
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,443,7,502,5032
Sniper_Tower(Clone)_Upgrade_S_01_up,120,263,7,505,6183
Sniper_Tower(Clone)_Upgrade_S_01_up,120,170,7,507,525
