Name, Price, Previous Fortune, Wave Number, Time
Food_Factory(Clone)_Create_Lvl0,50,180,-1,9,616774
DoubleCanon_Tower(Clone)_Create_Lvl0,80,130,-1,14,47683
Sniper_Tower(Clone)_Create_Lvl0,80,86,0,56,99573
Food_Factory(Clone)_Create_Lvl0,50,87,1,109,6976
ChewingGum_Factory(Clone)_Create_Lvl0,50,73,2,144,4915
DoubleCanon_Tower(Clone)_Create_Lvl0,100,106,3,198,653
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,123,4,237,576
Sniper_Tower(Clone)_Upgrade_S_01_up,120,140,5,278,5132
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,130,5,294,3175
Mortar_Tower(Clone)_Create_Lvl0,80,102,5,310,5309
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,215,6,362,9799
Mortar_Tower(Clone)_Upgrade_M_01_up,120,127,6,374,6925
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,261,7,408,2497
Food_Factory(Clone)_Upgrade_F_01_up,75,292,7,436,2235
Food_Factory(Clone)_Upgrade_F_01_up,75,244,7,438,5907
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,270,7,451,1722
