Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,1262,252
Food_Factory(Clone)_Create_Lvl0,50,100,-1,1264,011
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,1314,412
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,1,1352,288
Food_Factory(Clone)_Upgrade_F_01_up,75,79,2,1380,979
ChewingGum_Factory(Clone)_Create_Lvl0,50,80,2,1396,21
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,75,2,1404,417
DoubleCanon_Tower(Clone)_Create_Lvl0,100,108,3,1441,362
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,125,4,1474,625
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,160,4,1497,243
Mortar_Tower(Clone)_Upgrade_M_01_up,120,125,5,1525,871
Sniper_Tower(Clone)_Upgrade_S_01_up,120,160,5,1550,083
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,195,6,1596,052
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,352,6,1627,113
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,172,6,1629,552
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,207,7,1647,889
Food_Factory(Clone)_Upgrade_F_02_up,115,130,7,1663,46
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,188,7,1685,086
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,181,7,1702,833
