Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,1500,-1,154,8511
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,1420,-1,155,5647
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,1300,-1,156,6602
Food_Factory(Clone)_Create_Lvl0,50,1120,-1,162,1235
Food_Factory(Clone)_Upgrade_F_01_up,75,1070,-1,163,006
Food_Factory(Clone)_Upgrade_F_02_up,115,995,-1,163,6627
ChewingGum_Factory(Clone)_Create_Lvl0,50,880,-1,172,8501
Mortar_Tower(Clone)_Create_Lvl0,80,830,-1,181,8917
Mortar_Tower(Clone)_Upgrade_M_01_up,120,750,-1,182,736
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,630,-1,183,041
Mortar_Tower(Clone)_Create_Lvl0,100,450,-1,185,1811
Mortar_Tower(Clone)_Upgrade_M_01_up,120,350,-1,186,4991
DoubleCanon_Tower(Clone)_Create_Lvl0,100,230,-1,207,9291
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,130,-1,209,0286
