Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,735,2211
DoubleCanon_Tower(Clone)_Create_Lvl0,80,100,-1,741,4769
Food_Factory(Clone)_Create_Lvl0,50,56,0,764,3142
Mortar_Tower(Clone)_Create_Lvl0,80,105,2,835,52
ChewingGum_Factory(Clone)_Create_Lvl0,50,137,2,861,2971
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,186,3,905,6713
DoubleCanon_Tower(Clone)_Create_Lvl0,100,102,4,932,6346
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,157,5,991,4037
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,259,5,1026,075
Mortar_Tower(Clone)_Upgrade_M_01_up,120,133,5,1033,537
Food_Factory(Clone)_Upgrade_F_01_up,75,195,6,1081,812
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,212,6,1087,726
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,182,6,1090,8
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,265,7,1141,143
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,285,7,1164,81
