Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,774,7264
Food_Factory(Clone)_Create_Lvl0,50,100,-1,779,6614
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,809,057
Food_Factory(Clone)_Create_Lvl0,50,51,1,844,5156
DoubleCanon_Tower(Clone)_Create_Lvl0,100,102,2,891,9229
ChewingGum_Factory(Clone)_Create_Lvl0,50,56,2,902,8467
Mortar_Tower(Clone)_Create_Lvl0,80,87,3,944,8893
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,124,4,972,4363
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,139,4,988,0546
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,102,4,1011,213
