Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,28,48373
Food_Factory(Clone)_Create_Lvl0,50,100,-1,34,11108
Mortar_Tower(Clone)_Create_Lvl0,80,86,1,77,22577
Food_Factory(Clone)_Upgrade_F_01_up,75,87,2,134,2984
ChewingGum_Factory(Clone)_Create_Lvl0,50,57,2,164,6871
DoubleCanon_Tower(Clone)_Create_Lvl0,100,108,3,222,0576
Mortar_Tower(Clone)_Upgrade_M_01_up,120,125,4,280,2168
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,189,5,325,3084
Sniper_Tower(Clone)_Create_Lvl0,80,251,6,364,1383
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,171,6,366,483
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,89,6,372,1489
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,205,7,407,7731
Mortar_Tower(Clone)_Create_Lvl0,100,137,7,424,0199
Food_Factory(Clone)_Upgrade_F_02_up,115,129,7,439,332
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,214,7,465,439
