Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,300,-1,67,10278
Food_Factory(Clone)_Create_Lvl0,50,220,-1,83,72699
Food_Factory(Clone)_Upgrade_F_01_up,75,170,-1,87,11147
Sniper_Tower(Clone)_Create_Lvl0,80,131,0,171,5804
DoubleCanon_Tower(Clone)_Create_Lvl0,100,123,2,253,6376
Sniper_Tower(Clone)_Create_Lvl0,100,109,3,333,7185
Mortar_Tower(Clone)_Create_Lvl0,80,86,4,393,3118
Sniper_Tower(Clone)_Upgrade_S_01_up,120,152,5,442,8539
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,128,5,464,3264
Sniper_Tower(Clone)_Upgrade_S_01_up,120,138,6,526,6336
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,215,6,560,8511
DoubleCanon_Tower(Clone)_Create_Lvl0,120,131,7,589,8216
Mortar_Tower(Clone)_Create_Lvl0,100,140,7,617,2332
ChewingGum_Factory(Clone)_Create_Lvl0,50,118,7,626,9911
Mortar_Tower(Clone)_Upgrade_M_01_up,120,149,8,641,5458
Mortar_Tower(Clone)_Upgrade_M_01_up,120,131,8,663,0062
Mortar_Tower(Clone)_Upgrade_M_01_up,120,121,8,672,4149
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,243,8,703,5582
Food_Factory(Clone)_Upgrade_F_02_up,115,200,9,730,4926
