Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,1714,665
Food_Factory(Clone)_Create_Lvl0,50,100,-1,1716,784
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,1750,215
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,1,1796,202
Food_Factory(Clone)_Upgrade_F_01_up,75,92,2,1837,146
ChewingGum_Factory(Clone)_Create_Lvl0,50,53,2,1846,563
DoubleCanon_Tower(Clone)_Create_Lvl0,100,102,3,1885,622
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,83,4,1916,519
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,154,4,1938,075
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,171,5,1978,425
Mortar_Tower(Clone)_Upgrade_M_01_up,120,161,5,1996,366
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,232,6,2032,066
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,272,6,2048,775
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,182,7,2077,95
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,179,7,2093,391
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,176,7,2096,795
Food_Factory(Clone)_Upgrade_F_02_up,115,264,7,2121,963
Food_Factory(Clone)_Upgrade_F_03_up,175,203,7,2127,885
Sniper_Tower(Clone)_Upgrade_S_01_up,120,205,7,2136,271
