Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,304,4025
Food_Factory(Clone)_Create_Lvl0,50,100,-1,309,4938
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,342,303
Food_Factory(Clone)_Create_Lvl0,50,60,1,382,2486
DoubleCanon_Tower(Clone)_Create_Lvl0,100,111,2,434,1267
ChewingGum_Factory(Clone)_Create_Lvl0,50,65,2,448,8898
Mortar_Tower(Clone)_Create_Lvl0,80,105,3,480,6376
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,214,4,528,4679
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,159,4,536,7606
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,142,5,576,124
Sniper_Tower(Clone)_Upgrade_S_01_up,120,121,5,586,6706
Mortar_Tower(Clone)_Upgrade_M_01_up,120,131,6,626,0745
Mortar_Tower(Clone)_Create_Lvl0,100,146,6,647,8386
Mortar_Tower(Clone)_Upgrade_M_01_up,120,482,6,661,8878
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,389,6,665,6262
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,209,6,674,3387
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,289,7,706,7313
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,316,7,720,2977
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,201,7,720,5533
Food_Factory(Clone)_Upgrade_F_01_up,75,84,7,727,5442
