Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,11,72785
Food_Factory(Clone)_Create_Lvl0,50,100,-1,17,44014
Mortar_Tower(Clone)_Create_Lvl0,80,86,1,50,03108
ChewingGum_Factory(Clone)_Create_Lvl0,50,69,2,99,68052
Food_Factory(Clone)_Upgrade_F_01_up,75,82,2,139,2439
Sniper_Tower(Clone)_Create_Lvl0,80,90,3,181,9718
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,212,4,251,3041
Mortar_Tower(Clone)_Upgrade_M_01_up,120,157,5,282,4185
Sniper_Tower(Clone)_Upgrade_S_01_up,120,129,5,301,9607
Food_Factory(Clone)_Upgrade_F_02_up,115,126,6,335,9168
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,213,6,364,0687
