Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,20000,-1,8,642811
DoubleCanon_Tower(Clone)_Create_Lvl0,80,19920,-1,11,35247
Mortar_Tower(Clone)_Create_Lvl0,80,19840,-1,12,67916
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,19760,-1,13,85009
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,19640,-1,14,01637
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,19460,-1,14,17822
Mortar_Tower(Clone)_Upgrade_M_01_up,120,19190,0,24,40204
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,19070,0,25,02181
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,18908,0,25,64085
Sniper_Tower(Clone)_Upgrade_S_01_up,120,18674,0,42,61086
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,18563,0,43,25141
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,18392,0,43,91987
Food_Factory(Clone)_Create_Lvl0,50,18230,1,75,27192
Food_Factory(Clone)_Upgrade_F_01_up,75,18198,1,78,56895
Food_Factory(Clone)_Upgrade_F_02_up,115,18123,1,79,23189
Food_Factory(Clone)_Upgrade_F_03_up,175,18017,1,79,86684
ChewingGum_Factory(Clone)_Create_Lvl0,50,17869,1,89,07922
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,17873,1,95,90693
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,17798,1,96,65276
ChewingGum_Factory(Clone)_Upgrade_C_03_up,175,17683,1,97,29591
