Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,5726,574
Food_Factory(Clone)_Create_Lvl0,50,100,-1,5730,025
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,5760,065
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,1,5800,43
ChewingGum_Factory(Clone)_Create_Lvl0,50,52,2,5824,946
DoubleCanon_Tower(Clone)_Create_Lvl0,100,114,2,5849,625
Food_Factory(Clone)_Upgrade_F_01_up,75,86,3,5888,638
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,128,4,5919,84
Mortar_Tower(Clone)_Upgrade_M_01_up,120,154,4,5949,015
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,292,5,6019,664
Stars_Factory(Clone)_Create_Lvl0,50,130,6,6045,504
Mortar_Tower(Clone)_Create_Lvl0,100,217,6,6054,661
Mortar_Tower(Clone)_Upgrade_M_01_up,120,544,6,6092,45
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,424,6,6092,589
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,244,6,6095,571
Sniper_Tower(Clone)_Upgrade_S_01_up,120,124,6,6097,266
Sniper_Tower(Clone)_Create_Lvl0,100,1120,7,6160,343
Sniper_Tower(Clone)_Create_Lvl0,120,1047,7,6161,68
Sniper_Tower(Clone)_Create_Lvl0,140,963,7,6163,018
Sniper_Tower(Clone)_Create_Lvl0,160,850,7,6163,952
