Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,57,31794
Food_Factory(Clone)_Create_Lvl0,50,100,-1,63,2034
Mortar_Tower(Clone)_Create_Lvl0,80,86,1,147,5325
Sniper_Tower(Clone)_Create_Lvl0,100,105,1,197,4124
ChewingGum_Factory(Clone)_Create_Lvl0,50,79,2,234,2131
DoubleCanon_Tower(Clone)_Create_Lvl0,80,83,3,274,5316
Mortar_Tower(Clone)_Create_Lvl0,100,147,3,294,5859
Sniper_Tower(Clone)_Upgrade_S_01_up,120,168,4,326,894
Sniper_Tower(Clone)_Upgrade_S_01_up,120,156,4,345,0223
Mortar_Tower(Clone)_Upgrade_M_01_up,120,215,5,378,3335
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,277,5,406,0599
Stars_Factory(Clone)_Create_Lvl0,50,97,6,415,972
Sniper_Tower(Clone)_Upgrade_S_01_up,120,348,6,464,348
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,228,6,466,3282
