Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,410,-1,139,1637
Sniper_Tower(Clone)_Create_Lvl0,100,330,-1,140,8472
Food_Factory(Clone)_Create_Lvl0,50,230,-1,143,3076
Food_Factory(Clone)_Create_Lvl0,50,180,-1,146,3384
DoubleCanon_Tower(Clone)_Create_Lvl0,80,130,-1,153,3921
Sniper_Tower(Clone)_Upgrade_S_01_up,120,131,0,215,3671
Mortar_Tower(Clone)_Create_Lvl0,80,152,1,274,795
Mortar_Tower(Clone)_Create_Lvl0,100,111,2,319,8607
ChewingGum_Factory(Clone)_Create_Lvl0,50,59,2,329,8919
DoubleCanon_Tower(Clone)_Create_Lvl0,100,107,2,369,1606
Mortar_Tower(Clone)_Upgrade_M_01_up,120,282,3,412,1638
Mortar_Tower(Clone)_Upgrade_M_01_up,120,174,3,414,9042
ChewingGum_Factory(Clone)_Create_Lvl0,50,54,3,435,7779
Sniper_Tower(Clone)_Upgrade_S_01_up,120,249,4,471,8781
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,223,5,494,4052
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,211,5,517,882
Stars_Factory(Clone)_Create_Lvl0,50,83,6,564,1854
Mortar_Tower(Clone)_Create_Lvl0,120,170,6,583,9811
Mortar_Tower(Clone)_Create_Lvl0,140,157,6,605,7049
Mortar_Tower(Clone)_Upgrade_M_01_up,120,298,7,655,2531
Mortar_Tower(Clone)_Upgrade_M_01_up,120,187,7,656,8196
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,158,7,670,049
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,185,7,683,7842
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,197,7,703,9097
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,531,8,733,5917
Stars_Factory(Clone)_Create_Lvl0,50,810,8,738,1365
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,802,8,740,7184
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,556,8,741,9886
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,286,8,743,5307
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,316,8,753,8402
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,332,9,802,4997
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,236,9,804,2495
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,270,9,809,6744
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,207,9,821,9552
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,447,9,836,7858
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,284,9,847,244
Food_Factory(Clone)_Create_Lvl0,50,275,9,870,0912
Food_Factory(Clone)_Create_Lvl0,50,225,9,872,186
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,184,10,891,8303
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,247,10,899,951
Sniper_Tower(Clone)_Create_Lvl0,120,960,10,919,9496
Sniper_Tower(Clone)_Create_Lvl0,140,918,10,921,6984
Sniper_Tower(Clone)_Upgrade_S_01_up,120,910,10,923,4332
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,810,10,923,5573
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,630,10,923,6947
Sniper_Tower(Clone)_Upgrade_S_01_up,120,750,10,928,7521
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,630,10,928,8788
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,450,10,929,0286
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,270,10,940,489
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,195,10,940,6069
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,80,10,942,5359
Food_Factory(Clone)_Upgrade_F_01_up,75,205,11,957,459
Food_Factory(Clone)_Upgrade_F_02_up,115,130,11,958,3234
Mortar_Tower(Clone)_Create_Lvl0,160,1068,11,974,8524
Mortar_Tower(Clone)_Create_Lvl0,180,993,11,976,1332
Mortar_Tower(Clone)_Upgrade_M_01_up,120,1387,11,977,4769
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,1267,11,977,6131
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,1087,11,977,7391
Mortar_Tower(Clone)_Upgrade_M_01_up,120,889,11,979,4154
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,769,11,979,5415
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,598,11,979,684
Food_Factory(Clone)_Upgrade_F_01_up,75,478,11,981,4921
Food_Factory(Clone)_Upgrade_F_02_up,115,403,11,981,6292
Food_Factory(Clone)_Upgrade_F_03_up,175,288,11,981,7577
