Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,2538,657
DoubleCanon_Tower(Clone)_Create_Lvl0,80,100,-1,2580,923
Food_Factory(Clone)_Create_Lvl0,50,56,0,2602,179
Food_Factory(Clone)_Create_Lvl0,50,96,1,2651,48
DoubleCanon_Tower(Clone)_Create_Lvl0,100,102,2,2679,967
ChewingGum_Factory(Clone)_Create_Lvl0,50,119,3,2732,23
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,132,3,2745,302
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,129,4,2769,014
DoubleCanon_Tower(Clone)_Create_Lvl0,120,130,4,2784,08
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,196,5,2834,872
Sniper_Tower(Clone)_Upgrade_S_01_up,120,137,5,2860,572
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,201,6,2889,667
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,237,6,2905,321
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,223,7,2951,276
