Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,66,83504
Mortar_Tower(Clone)_Create_Lvl0,80,100,-1,71,91792
Food_Factory(Clone)_Create_Lvl0,50,56,0,117,9226
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,1,188,4077
ChewingGum_Factory(Clone)_Create_Lvl0,50,110,2,221,5701
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,150,3,256,2306
Mortar_Tower(Clone)_Upgrade_M_01_up,120,120,3,271,016
ChewingGum_Factory(Clone)_Create_Lvl0,50,92,4,315,5997
DoubleCanon_Tower(Clone)_Create_Lvl0,100,159,4,343,9789
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,173,5,393,7533
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,354,6,461,8582
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,284,6,474,9832
Food_Factory(Clone)_Upgrade_F_01_up,75,221,6,495,888
DoubleCanon_Tower(Clone)_Create_Lvl0,120,146,7,515,623
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,901,7,579,1932
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,781,7,580,4589
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,796,7,585,9516
