Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,6289,517
Food_Factory(Clone)_Create_Lvl0,50,100,-1,6291,122
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,6321,85
Food_Factory(Clone)_Create_Lvl0,50,51,1,6354,195
Mortar_Tower(Clone)_Create_Lvl0,80,82,2,6402,012
ChewingGum_Factory(Clone)_Create_Lvl0,50,76,2,6419,331
DoubleCanon_Tower(Clone)_Create_Lvl0,100,107,3,6448,523
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,124,4,6485,326
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,123,4,6519,644
Food_Factory(Clone)_Upgrade_F_01_up,75,77,5,6537,905
Stars_Factory(Clone)_Create_Lvl0,50,72,5,6544,541
Mortar_Tower(Clone)_Create_Lvl0,100,123,5,6557,734
DoubleCanon_Tower(Clone)_Create_Lvl0,120,270,6,6614,268
Sniper_Tower(Clone)_Upgrade_S_01_up,120,550,6,6634,012
Sniper_Tower(Clone)_Create_Lvl0,100,490,6,6636,013
Stars_Factory(Clone)_Upgrade_E_01_up,75,390,6,6637,436
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,315,6,6639,379
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,240,6,6639,529
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,125,6,6644,26
Mortar_Tower(Clone)_Create_Lvl0,120,178,7,6669,859
Food_Factory(Clone)_Create_Lvl0,50,58,7,6671,292
DoubleCanon_Tower(Clone)_Create_Lvl0,140,223,7,6688,605
Mortar_Tower(Clone)_Upgrade_M_01_up,120,128,7,6692,636
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,221,7,6707,977
Food_Factory(Clone)_Upgrade_F_01_up,75,124,7,6717,548
Mortar_Tower(Clone)_Upgrade_M_01_up,120,175,7,6724,117
