Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,410,-1,15,60944
Sniper_Tower(Clone)_Create_Lvl0,100,330,-1,27,8884
DoubleCanon_Tower(Clone)_Create_Lvl0,80,230,-1,39,01804
Mortar_Tower(Clone)_Create_Lvl0,80,150,-1,59,14152
Food_Factory(Clone)_Create_Lvl0,50,70,-1,65,60118
Sniper_Tower(Clone)_Upgrade_S_01_up,120,122,1,161,5567
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,157,2,230,2926
Mortar_Tower(Clone)_Upgrade_M_01_up,120,129,2,244,6117
Food_Factory(Clone)_Create_Lvl0,50,65,3,280,7173
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,199,4,335,7738
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,191,4,364,1685
ChewingGum_Factory(Clone)_Create_Lvl0,50,131,5,382,35
Sniper_Tower(Clone)_Upgrade_S_01_up,120,131,5,399,5732
Food_Factory(Clone)_Upgrade_F_01_up,75,157,5,427,525
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,82,5,430,4551
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,243,6,496,6521
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,211,8,559,6287
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,359,8,626,4808
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,208,9,694,1299
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,218,10,760,9114
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,294,11,838,0209
Food_Factory(Clone)_Upgrade_F_02_up,115,144,11,851,3781
Food_Factory(Clone)_Upgrade_F_01_up,75,117,11,859,0759
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,135,11,868,9948
