Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,410,-1,11,04525
Food_Factory(Clone)_Create_Lvl0,50,330,-1,17,29165
DoubleCanon_Tower(Clone)_Create_Lvl0,100,280,-1,23,55129
DoubleCanon_Tower(Clone)_Create_Lvl0,120,180,-1,28,10509
Food_Factory(Clone)_Create_Lvl0,50,60,-1,36,10757
Sniper_Tower(Clone)_Create_Lvl0,80,130,1,146,4844
Mortar_Tower(Clone)_Create_Lvl0,80,164,2,219,2403
Food_Factory(Clone)_Upgrade_F_01_up,75,84,2,224,2403
Sniper_Tower(Clone)_Upgrade_S_01_up,120,145,3,291,4326
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,123,4,340,7558
Mortar_Tower(Clone)_Upgrade_M_01_up,120,155,4,368,2927
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,131,5,405,5786
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,236,6,482,5636
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,141,6,498,8296
Mortar_Tower(Clone)_Create_Lvl0,100,108,7,532,6357
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,744,8,628,2466
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,483,8,630,6712
Food_Factory(Clone)_Upgrade_F_02_up,115,303,8,632,4993
Food_Factory(Clone)_Upgrade_F_03_up,175,188,8,632,7002
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,228,9,673,7448
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,349,9,709,9206
Mortar_Tower(Clone)_Upgrade_M_01_up,120,424,10,758,7487
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,304,10,758,9466
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,219,10,763,0733
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,1131,11,832,1231
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,882,11,833,6846
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,702,11,833,8563
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,504,11,835,3231
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,288,11,837,6565
