Name, Price, Previous Fortune, Wave Number, Time
Mortar_Tower(Clone)_Create_Lvl0,80,180,-1,8,337282
Sniper_Tower(Clone)_Create_Lvl0,80,100,-1,10,73199
Food_Factory(Clone)_Create_Lvl0,50,56,0,71,55753
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,2,163,0341
DoubleCanon_Tower(Clone)_Create_Lvl0,100,105,2,171,3615
Stars_Factory(Clone)_Create_Lvl0,50,239,3,222,8697
Stars_Factory(Clone)_Upgrade_E_01_up,75,207,3,226,9061
Food_Factory(Clone)_Upgrade_F_01_up,75,132,3,228,6684
ChewingGum_Factory(Clone)_Create_Lvl0,50,113,4,258,3958
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,90,4,263,2194
DoubleCanon_Tower(Clone)_Create_Lvl0,120,123,4,286,554
Food_Factory(Clone)_Upgrade_F_02_up,115,198,5,342,8866
Food_Factory(Clone)_Create_Lvl0,50,150,5,352,1854
Food_Factory(Clone)_Upgrade_F_01_up,75,127,5,356,3887
Food_Factory(Clone)_Create_Lvl0,50,79,5,364,2325
Food_Factory(Clone)_Create_Lvl0,50,67,6,386,3992
Sniper_Tower(Clone)_Upgrade_S_01_up,120,219,6,421,9241
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,164,6,427,1481
Mortar_Tower(Clone)_Upgrade_M_01_up,120,170,7,464,459
Food_Factory(Clone)_Upgrade_F_01_up,75,196,7,484,046
Food_Factory(Clone)_Upgrade_F_03_up,175,233,7,492,8433
Food_Factory(Clone)_Upgrade_F_01_up,75,179,7,503,0353
