Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,180,-1,150,8918
Food_Factory(Clone)_Create_Lvl0,50,100,-1,209,5165
Food_Factory(Clone)_Create_Lvl0,50,50,-1,218,8871
Sniper_Tower(Clone)_Create_Lvl0,80,99,2,320,1145
Mortar_Tower(Clone)_Create_Lvl0,80,165,3,371,5003
Food_Factory(Clone)_Create_Lvl0,50,121,3,378,7438
ChewingGum_Factory(Clone)_Create_Lvl0,50,197,4,416,8278
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,214,4,426,8794
ChewingGum_Factory(Clone)_Create_Lvl0,50,103,5,441,617
DoubleCanon_Tower(Clone)_Create_Lvl0,100,138,5,451,3752
Food_Factory(Clone)_Upgrade_F_01_up,75,110,5,465,6654
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,246,6,508,6786
Mortar_Tower(Clone)_Upgrade_M_01_up,120,171,6,521,4149
Sniper_Tower(Clone)_Upgrade_S_01_up,120,170,7,538,8586
Food_Factory(Clone)_Upgrade_F_01_up,75,140,7,552,7233
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,134,7,554,9474
Sniper_Tower(Clone)_Create_Lvl0,100,160,7,580,2844
