Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,410,-1,384,1748
DoubleCanon_Tower(Clone)_Create_Lvl0,80,330,-1,391,0705
DoubleCanon_Tower(Clone)_Create_Lvl0,100,250,-1,393,8558
Stars_Factory(Clone)_Create_Lvl0,50,150,-1,419,256
Stars_Factory(Clone)_Create_Lvl0,50,100,-1,443,7248
Mortar_Tower(Clone)_Create_Lvl0,80,95,1,508,3547
ChewingGum_Factory(Clone)_Create_Lvl0,50,132,2,560,3845
Mortar_Tower(Clone)_Create_Lvl0,100,114,2,582,511
Sniper_Tower(Clone)_Create_Lvl0,100,118,3,625,1035
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,154,4,650,6777
DoubleCanon_Tower(Clone)_Create_Lvl0,120,151,4,671,822
DoubleCanon_Tower(Clone)_Create_Lvl0,140,320,5,715,9186
Sniper_Tower(Clone)_Upgrade_S_01_up,120,237,5,723,9272
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,195,5,744,2044
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,183,7,801,843
Mortar_Tower(Clone)_Upgrade_M_01_up,120,181,8,850,1977
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,314,9,892,5927
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,389,10,933,5794
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,637,11,995,5172
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,529,11,996,1133
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,349,11,996,7885
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,303,11,1005,124
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,203,11,1005,815
