Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,450,-1,5,727329
Food_Factory(Clone)_Create_Lvl0,50,370,-1,14,07596
Food_Factory(Clone)_Upgrade_F_01_up,75,320,-1,16,52343
Sniper_Tower(Clone)_Create_Lvl0,80,245,-1,22,36429
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,165,-1,26,43617
Mortar_Tower(Clone)_Create_Lvl0,80,87,1,78,01894
Sniper_Tower(Clone)_Upgrade_S_01_up,120,132,2,152,2013
Mortar_Tower(Clone)_Upgrade_M_01_up,120,168,3,197,012
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,256,5,276,3262
DoubleCanon_Tower(Clone)_Create_Lvl0,100,197,5,311,6771
ChewingGum_Factory(Clone)_Create_Lvl0,50,212,6,326,0685
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,234,6,351,5086
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,226,8,424,4741
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,91,8,453,9175
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,575,10,613,2413
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,395,10,616,1157
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,273,11,657,7396
