Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,410,-1,590,3413
Sniper_Tower(Clone)_Create_Lvl0,100,330,-1,592,8412
Food_Factory(Clone)_Create_Lvl0,50,230,-1,603,9507
Mortar_Tower(Clone)_Create_Lvl0,80,180,-1,619,3087
Mortar_Tower(Clone)_Create_Lvl0,100,100,-1,621,7521
DoubleCanon_Tower(Clone)_Create_Lvl0,80,81,1,707,5631
Food_Factory(Clone)_Create_Lvl0,50,151,1,738,8246
Food_Factory(Clone)_Upgrade_F_01_up,75,101,1,741,0899
DoubleCanon_Tower(Clone)_Create_Lvl0,100,171,2,800,6423
ChewingGum_Factory(Clone)_Create_Lvl0,50,104,2,828,3007
Sniper_Tower(Clone)_Upgrade_S_01_up,120,258,3,860,5266
Sniper_Tower(Clone)_Upgrade_S_01_up,120,186,3,866,6832
Mortar_Tower(Clone)_Upgrade_M_01_up,120,120,4,890,3177
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,133,4,910,5659
DoubleCanon_Tower(Clone)_Create_Lvl0,120,197,5,959,9213
Stars_Factory(Clone)_Create_Lvl0,50,89,5,985,3149
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,338,6,1059,534
Mortar_Tower(Clone)_Upgrade_M_01_up,120,158,6,1062,849
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,351,7,1120,86
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,243,7,1129,017
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,564,8,1201,029
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,444,8,1202,713
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,264,8,1205,478
Food_Factory(Clone)_Upgrade_F_01_up,75,179,9,1222,641
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,478,9,1254,493
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,246,9,1259,819
Stars_Factory(Clone)_Upgrade_E_01_up,75,95,9,1271,066
Sniper_Tower(Clone)_Create_Lvl0,120,215,10,1295,296
Sniper_Tower(Clone)_Upgrade_S_01_up,120,343,10,1299,767
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,232,10,1300,706
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,583,10,1334,466
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,313,11,1339,58
Sniper_Tower(Clone)_Create_Lvl0,140,356,11,1355,167
Sniper_Tower(Clone)_Upgrade_S_01_up,120,237,11,1356,331
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,628,11,1369,533
