Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,9943,459
Food_Factory(Clone)_Create_Lvl0,50,100,-1,9945,065
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,9975,533
Food_Factory(Clone)_Create_Lvl0,50,60,1,10017,48
DoubleCanon_Tower(Clone)_Create_Lvl0,100,100,2,10064,03
ChewingGum_Factory(Clone)_Create_Lvl0,50,56,2,10079,66
Mortar_Tower(Clone)_Create_Lvl0,80,87,3,10125,82
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,142,4,10178,12
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,139,4,10197,63
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,394,5,10285,05
Sniper_Tower(Clone)_Upgrade_S_01_up,120,214,5,10286,4
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,94,5,10297,69
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,331,6,10331,42
Mortar_Tower(Clone)_Upgrade_M_01_up,120,223,6,10337,93
Food_Factory(Clone)_Upgrade_F_01_up,75,202,6,10350,97
Food_Factory(Clone)_Upgrade_F_02_up,115,127,6,10351,57
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,326,7,10415
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,350,7,10435,39
ChewingGum_Factory(Clone)_Upgrade_C_02_up,115,314,7,10445,26
