Name, Price, Previous Fortune, Wave Number, Time
Food_Factory(Clone)_Create_Lvl0,50,180,-1,26,13042
DoubleCanon_Tower(Clone)_Create_Lvl0,80,130,-1,35,72723
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,84,09515
Food_Factory(Clone)_Upgrade_F_01_up,75,78,1,137,0415
ChewingGum_Factory(Clone)_Create_Lvl0,50,57,2,185,0142
Sniper_Tower(Clone)_Create_Lvl0,80,108,3,240,1362
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,136,4,266,2228
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,144,4,294,1082
Mortar_Tower(Clone)_Upgrade_M_01_up,120,190,5,338,9323
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,171,6,391,581
Mortar_Tower(Clone)_Create_Lvl0,100,141,6,399,7928
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,353,7,466,1374
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,209,7,473,9689
