Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,5270,154
Food_Factory(Clone)_Create_Lvl0,50,100,-1,5272,107
Mortar_Tower(Clone)_Create_Lvl0,80,86,0,5307,677
DoubleCanon_Tower(Clone)_Create_Lvl0,80,87,1,5358,433
ChewingGum_Factory(Clone)_Create_Lvl0,50,52,2,5396,146
DoubleCanon_Tower(Clone)_Create_Lvl0,100,105,2,5411,158
Food_Factory(Clone)_Upgrade_F_01_up,75,86,3,5442,435
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,128,4,5479,821
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,650,6,5615,804
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,470,6,5615,939
Mortar_Tower(Clone)_Upgrade_M_01_up,120,200,6,5618,756
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,244,6,5632,79
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,187,6,5636,059
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,283,7,5676,949
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,213,7,5692,407
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,316,7,5715,195
