Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,410,-1,8,307395
DoubleCanon_Tower(Clone)_Create_Lvl0,100,330,-1,12,89484
Sniper_Tower(Clone)_Create_Lvl0,80,230,-1,19,60955
Sniper_Tower(Clone)_Create_Lvl0,100,150,-1,24,4804
Food_Factory(Clone)_Create_Lvl0,50,50,-1,30,00265
Food_Factory(Clone)_Create_Lvl0,50,51,0,73,79726
ChewingGum_Factory(Clone)_Create_Lvl0,50,61,1,109,6224
Mortar_Tower(Clone)_Create_Lvl0,80,154,2,187,8201
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,226,3,204,187
Food_Factory(Clone)_Upgrade_F_01_up,75,106,3,206,6929
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,115,3,221,7716
Sniper_Tower(Clone)_Upgrade_S_01_up,120,152,3,234,3788
Sniper_Tower(Clone)_Upgrade_S_01_up,120,172,4,265,2101
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,280,4,294,0294
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,156,4,298,4172
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,288,6,362,2175
Mortar_Tower(Clone)_Upgrade_M_01_up,120,120,6,367,9701
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,216,7,438,2344
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,282,9,546,6855
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,184,10,613,8348
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,192,10,670,6467
