Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,300,-1,199,0203
Food_Factory(Clone)_Create_Lvl0,50,220,-1,204,265
Mortar_Tower(Clone)_Create_Lvl0,80,170,-1,208,2606
DoubleCanon_Tower(Clone)_Create_Lvl0,80,90,-1,223,3654
Sniper_Tower(Clone)_Create_Lvl0,100,100,1,331,0893
ChewingGum_Factory(Clone)_Create_Lvl0,50,180,2,369,8959
Food_Factory(Clone)_Create_Lvl0,50,130,2,373,4843
Mortar_Tower(Clone)_Upgrade_M_01_up,120,140,2,403,8706
Mortar_Tower(Clone)_Create_Lvl0,100,203,3,438,1612
Sniper_Tower(Clone)_Upgrade_S_01_up,120,127,3,468,2737
Mortar_Tower(Clone)_Upgrade_M_01_up,120,163,3,480,0023
Sniper_Tower(Clone)_Upgrade_S_01_up,120,143,4,503,5124
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,239,4,544,4409
Stars_Factory(Clone)_Create_Lvl0,50,146,5,560,4088
Mortar_Tower(Clone)_Create_Lvl0,120,168,5,572,8416
Mortar_Tower(Clone)_Upgrade_M_01_up,120,177,5,582,7374
Mortar_Tower(Clone)_Upgrade_M_01_up,120,165,5,607,0985
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,262,6,650,2307
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,376,6,693,0646
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,196,6,695,447
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,250,7,738,155
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,224,7,768,305
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,281,8,792,8953
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,432,8,831,8181
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,276,8,840,8453
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,339,8,856,6474
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,719,9,877,7308
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,791,9,885,7795
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,611,9,885,9641
Mortar_Tower(Clone)_Create_Lvl0,140,458,9,890,7292
Mortar_Tower(Clone)_Upgrade_M_01_up,120,318,9,892,3898
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,198,9,892,5389
Food_Factory(Clone)_Upgrade_F_01_up,75,516,9,901,2371
Mortar_Tower(Clone)(Clone)(Clone)_Upgrade_M_03_up,270,813,9,918,264
Sniper_Tower(Clone)_Create_Lvl0,120,610,9,924,6387
Sniper_Tower(Clone)_Upgrade_S_01_up,120,684,9,943,752
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,564,9,943,8933
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,384,9,944,0338
Stars_Factory(Clone)_Upgrade_E_01_up,75,267,9,956,1181
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,201,9,958,4958
Sniper_Tower(Clone)_Create_Lvl0,140,144,10,970,9901
Sniper_Tower(Clone)_Upgrade_S_01_up,120,139,10,1003,03
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,293,10,1048,273
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,421,11,1076,375
Sniper_Tower(Clone)_Create_Lvl0,160,474,11,1089,215
Sniper_Tower(Clone)_Upgrade_S_01_up,120,323,11,1090,468
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,203,11,1090,677
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,244,11,1113,918
