Name, Price, Previous Fortune, Wave Number, Time
Sniper_Tower(Clone)_Create_Lvl0,80,180,-1,1880,699
Food_Factory(Clone)_Create_Lvl0,50,100,-1,1884,535
DoubleCanon_Tower(Clone)_Create_Lvl0,80,86,0,1912,637
DoubleCanon_Tower(Clone)_Create_Lvl0,100,105,1,1973,728
Food_Factory(Clone)_Create_Lvl0,50,79,2,2007,324
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,128,3,2047,714
ChewingGum_Factory(Clone)_Create_Lvl0,50,89,3,2063,095
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,147,4,2105,486
Mortar_Tower(Clone)_Create_Lvl0,80,137,5,2153,202
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,243,5,2174,733
Food_Factory(Clone)_Upgrade_F_01_up,75,119,5,2178,916
ChewingGum_Factory(Clone)_Upgrade_C_01_up,75,80,5,2184,01
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,270,6,2221,335
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,283,6,2240,193
Sniper_Tower(Clone)_Upgrade_S_01_up,120,184,7,2254,873
DoubleCanon_Tower(Clone)(Clone)(Clone)_Upgrade_Dc_03_up,270,347,7,2275,217
Mortar_Tower(Clone)_Upgrade_M_01_up,120,122,7,2278,747
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,323,7,2306,487
