Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,410,-1,4,846939
Food_Factory(Clone)_Create_Lvl0,50,330,-1,11,05996
Food_Factory(Clone)_Upgrade_F_01_up,75,280,-1,12,32738
DoubleCanon_Tower(Clone)_Create_Lvl0,100,259,0,67,18619
DoubleCanon_Tower(Clone)_Create_Lvl0,120,240,1,162,7641
Sniper_Tower(Clone)_Create_Lvl0,80,281,2,306,8948
Sniper_Tower(Clone)_Create_Lvl0,100,219,2,313,285
Food_Factory(Clone)_Upgrade_F_02_up,115,131,2,321,8306
Sniper_Tower(Clone)_Upgrade_S_01_up,120,184,3,389,9259
Sniper_Tower(Clone)_Upgrade_S_01_up,120,304,4,444,755
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,244,4,447,6823
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,124,4,449,3291
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,168,5,502,6098
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,269,6,577,9594
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,284,7,631,2271
Food_Factory(Clone)_Upgrade_F_03_up,175,230,8,673,9173
Food_Factory(Clone)_Create_Lvl0,50,175,8,710,7493
Food_Factory(Clone)_Upgrade_F_01_up,75,125,8,711,7836
Food_Factory(Clone)_Upgrade_F_02_up,115,158,9,758,5278
Mortar_Tower(Clone)_Create_Lvl0,80,143,9,794,3472
Mortar_Tower(Clone)_Create_Lvl0,100,155,10,827,7996
Mortar_Tower(Clone)_Upgrade_M_01_up,120,323,10,875,8796
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,203,10,876,1592
Mortar_Tower(Clone)_Upgrade_M_01_up,120,464,11,921,798
Mortar_Tower(Clone)(Clone)_Upgrade_M_02_up,180,344,11,922,0371
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,204,11,928,9782
