Name, Price, Previous Fortune, Wave Number, Time
DoubleCanon_Tower(Clone)_Create_Lvl0,80,450,-1,50,52233
Sniper_Tower(Clone)_Create_Lvl0,80,370,-1,56,11398
DoubleCanon_Tower(Clone)_Create_Lvl0,100,290,-1,65,29859
Food_Factory(Clone)_Create_Lvl0,50,190,-1,71,22863
Food_Factory(Clone)_Create_Lvl0,50,140,-1,76,13559
ChewingGum_Factory(Clone)_Create_Lvl0,50,90,-1,85,87939
Mortar_Tower(Clone)_Create_Lvl0,80,91,1,142,6475
Sniper_Tower(Clone)_Upgrade_S_01_up,120,125,1,181,1098
Sniper_Tower(Clone)_Create_Lvl0,100,106,3,229,9655
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,226,4,295,2735
Sniper_Tower(Clone)_Upgrade_S_01_up,120,122,4,316,8494
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,134,4,336,7515
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up,120,234,6,402,3099
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,186,6,423,0415
Sniper_Tower(Clone)(Clone)_Upgrade_S_02_up,180,188,8,506,3602
Sniper_Tower(Clone)(Clone)(Clone)_Upgrade_S_03_up,180,198,9,564,6652
DoubleCanon_Tower(Clone)(Clone)_Upgrade_Dc_02_up,180,200,10,623,9684
Food_Factory(Clone)_Create_Lvl0,50,64,10,632,7137
Stars_Factory(Clone)_Create_Lvl0,50,64,10,642,2159
Food_Factory(Clone)_Create_Lvl0,50,66,10,651,5885
ChewingGum_Factory(Clone)_Create_Lvl0,50,54,10,675,6605
Mortar_Tower(Clone)_Create_Lvl0,100,242,11,725,4207
Mortar_Tower(Clone)_Upgrade_M_01_up,120,142,11,726,9221
